case_number,prompt,label_str,evaluation_seed
0,a photo of English Springer,English Springer,3990
1,a photo of English Springer,English Springer,1311
2,a photo of English Springer,English Springer,9473
3,a photo of English Springer,English Springer,7618
4,a photo of English Springer,English Springer,8274
5,a photo of English Springer,English Springer,8369
6,a photo of English Springer,English Springer,2266
7,a photo of English Springer,English Springer,5027
8,a photo of English Springer,English Springer,9966
9,a photo of English Springer,English Springer,9403
10,a photo of English Springer,English Springer,4866
11,a photo of English Springer,English Springer,7086
12,a photo of English Springer,English Springer,2277
13,a photo of English Springer,English Springer,8834
14,a photo of English Springer,English Springer,3736
15,a photo of English Springer,English Springer,3753
16,a photo of English Springer,English Springer,7545
17,a photo of English Springer,English Springer,5592
18,a photo of English Springer,English Springer,4528
19,a photo of English Springer,English Springer,1385
20,a photo of English Springer,English Springer,1229
21,a photo of English Springer,English Springer,2988
22,a photo of English Springer,English Springer,9837
23,a photo of English Springer,English Springer,1245
24,a photo of English Springer,English Springer,6897
25,a photo of English Springer,English Springer,2952
26,a photo of English Springer,English Springer,5071
27,a photo of English Springer,English Springer,4469
28,a photo of English Springer,English Springer,3360
29,a photo of English Springer,English Springer,6974
30,a photo of English Springer,English Springer,1547
31,a photo of English Springer,English Springer,8395
32,a photo of English Springer,English Springer,1800
33,a photo of English Springer,English Springer,9244
34,a photo of English Springer,English Springer,8588
35,a photo of English Springer,English Springer,9801
36,a photo of English Springer,English Springer,3004
37,a photo of English Springer,English Springer,3060
38,a photo of English Springer,English Springer,9240
39,a photo of English Springer,English Springer,9657
40,a photo of English Springer,English Springer,8822
41,a photo of English Springer,English Springer,9272
42,a photo of English Springer,English Springer,8866
43,a photo of English Springer,English Springer,2764
44,a photo of English Springer,English Springer,9268
45,a photo of English Springer,English Springer,5888
46,a photo of English Springer,English Springer,8356
47,a photo of English Springer,English Springer,3844
48,a photo of English Springer,English Springer,2345
49,a photo of English Springer,English Springer,9490
50,a photo of English Springer,English Springer,6707
51,a photo of English Springer,English Springer,3057
52,a photo of English Springer,English Springer,4676
53,a photo of English Springer,English Springer,5691
54,a photo of English Springer,English Springer,7600
55,a photo of English Springer,English Springer,4656
56,a photo of English Springer,English Springer,4785
57,a photo of English Springer,English Springer,3956
58,a photo of English Springer,English Springer,9451
59,a photo of English Springer,English Springer,6788
60,a photo of English Springer,English Springer,4592
61,a photo of English Springer,English Springer,8032
62,a photo of English Springer,English Springer,6567
63,a photo of English Springer,English Springer,9508
64,a photo of English Springer,English Springer,6406
65,a photo of English Springer,English Springer,3123
66,a photo of English Springer,English Springer,5858
67,a photo of English Springer,English Springer,7563
68,a photo of English Springer,English Springer,9309
69,a photo of English Springer,English Springer,1793
70,a photo of English Springer,English Springer,7499
71,a photo of English Springer,English Springer,5667
72,a photo of English Springer,English Springer,3321
73,a photo of English Springer,English Springer,7223
74,a photo of English Springer,English Springer,4248
75,a photo of English Springer,English Springer,6736
76,a photo of English Springer,English Springer,1915
77,a photo of English Springer,English Springer,7106
78,a photo of English Springer,English Springer,2868
79,a photo of English Springer,English Springer,5827
80,a photo of English Springer,English Springer,7425
81,a photo of English Springer,English Springer,5306
82,a photo of English Springer,English Springer,8540
83,a photo of English Springer,English Springer,2354
84,a photo of English Springer,English Springer,1485
85,a photo of English Springer,English Springer,4502
86,a photo of English Springer,English Springer,4533
87,a photo of English Springer,English Springer,9511
88,a photo of English Springer,English Springer,4372
89,a photo of English Springer,English Springer,2761
90,a photo of English Springer,English Springer,8924
91,a photo of English Springer,English Springer,6580
92,a photo of English Springer,English Springer,3080
93,a photo of English Springer,English Springer,4426
94,a photo of English Springer,English Springer,9665
95,a photo of English Springer,English Springer,1846
96,a photo of English Springer,English Springer,6353
97,a photo of English Springer,English Springer,6816
98,a photo of English Springer,English Springer,4647
99,a photo of English Springer,English Springer,1412
100,a photo of English Springer,English Springer,5912
101,a photo of English Springer,English Springer,2045
102,a photo of English Springer,English Springer,9444
103,a photo of English Springer,English Springer,6117
104,a photo of English Springer,English Springer,3011
105,a photo of English Springer,English Springer,5393
106,a photo of English Springer,English Springer,9699
107,a photo of English Springer,English Springer,4528
108,a photo of English Springer,English Springer,8020
109,a photo of English Springer,English Springer,9108
110,a photo of English Springer,English Springer,5472
111,a photo of English Springer,English Springer,6341
112,a photo of English Springer,English Springer,1429
113,a photo of English Springer,English Springer,3328
114,a photo of English Springer,English Springer,3875
115,a photo of English Springer,English Springer,2054
116,a photo of English Springer,English Springer,4817
117,a photo of English Springer,English Springer,5311
118,a photo of English Springer,English Springer,1423
119,a photo of English Springer,English Springer,7713
120,a photo of English Springer,English Springer,1208
121,a photo of English Springer,English Springer,2988
122,a photo of English Springer,English Springer,6727
123,a photo of English Springer,English Springer,8093
