Mannequin
Statue
Doll
Robot
Silhouette
Shadow
Outline
Effigy
Avatar
Bust
Puppet
Figurine
Portrait
Model
Marionette
Drawing
Sketch
Carving
Mold
Dummy
Manikin
Cutout
Sculpture
Hologram
Animation
Cartoon
Illustration
Replica
Figure
Icon
Symbol
Idol
Representation
Mimicry
Silicon model
Display dummy
Wax figure
Silicon replica
3D model
Virtual avatar
Character
Mascot
Simulacrum
Graphic representation
Relief sculpture
Relief
Plaster cast
Stone carving
Bronze sculpture
Plush doll
Stuffed figure
Toy
Body double
Reflection
Mirror image
Virtual body
Digital avatar
Projection
Body print
Cast
Casting
Plastic model
Armature
Anatomical model
Training dummy
Crash test dummy
Cardboard cutout
Sculpted form
Decorative statue
Ceramic figure
Garden gnome
Poseable figure
Skeleton model
Zoological model
Plastic figurine
Medical dummy
Surgical mannequin
Dental model
Forensic reconstruction
Artist's model
Prosthetic limb
Anatomical chart
Body part sculpture
Scaled model
Action figure
Toy soldier
Miniature figure
Diorama figure
Collectible figure
Human-shaped toy
Virtual character
Cosplay figure
Clay model
3D print
Scaled sculpture
Life-sized doll
Fantasy figure
Foam model
Posable doll
Poseable sculpture
Toy replica
Human effigy
